Instances,,,SamplingCA (k=10),,,,SamplingCA (k=50),,,,SamplingCA (k=100),,,,SamplingCA (k=500),,,,SamplingCA (k=1000),
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
fads,,133,152.35,4.25979999999999,,102,108.1,14.6447999999999,,93,99.21,26.5722,,83,86.52,113.747099999999,,78,82.82,217.2316
financial,,4722,4759.51,52.9761999999999,,4465,4483.15,262.583,,4421,4433.91,544.3052,,4383,4392.63,3956.843,,4380,4386.35,8014.5701
flexanet,,150,170.57,5.42479999999999,,114,122.37,18.5446,,105,111.24,33.6114,,92,97.08,144.4193,,88,92.57,275.458999999999
freebsd-icse11,,162,179.08,6.48949999999999,,123,130.56,23.7455999999999,,116,121.33,43.9353999999999,,102,107.85,193.591499999999,,99,104.6,374.9251
frv400,,145,162.93,4.9513,,110,117.85,17.2169,,101,107.59,31.2936,,89,93.74,133.935199999999,,86,89.66,255.147499999999
gps4020,,137,156.48,4.61499999999999,,103,111.82,15.9169,,98,102.49,28.5757,,86,89.22,124.143799999999,,81,85.43,233.833
grg,,137,162.16,4.93979999999999,,107,116.79,17.1171,,101,107.21,31.1666,,88,93.22,133.618,,85,88.83,253.6446
h8300h_sim,,130,151.7,4.2199,,101,108.23,14.5849,,94,99.54,26.5800999999999,,81,86.47,112.625,,79,83.11,215.2219
h8max,,148,165.61,4.77089999999999,,110,118.61,16.4293,,102,108.07,29.8382999999999,,88,93.55,126.427299999999,,86,89.7,241.5461
h8s_sim,,131,150.88,4.2255,,101,108.52,14.5862,,93,99.28,26.4752999999999,,83,86.75,113.3765,,79,82.89,215.8316
hs7729pci,,187,206.6,6.77069999999999,,145,152.93,24.3434,,133,140.22,43.9913,,117,122.07,188.0768,,113,117.23,361.4146
innovator,,196,214.42,6.1263,,145,154.41,22.7925,,134,140.95,41.171,,117,122.3,176.196399999999,,110,116.57,334.9996
integrator_arm7,,150,166.57,5.18699999999999,,111,118.84,17.9239,,104,109.11,32.9248,,90,94.72,140.650199999999,,87,90.56,265.4566
integrator_arm9,,163,180.93,5.9148,,125,132.85,20.3906,,116,122.19,36.9415999999999,,103,107,159.583199999999,,99,103.01,306.344499999999
ipaq,,138,156.89,4.94779999999999,,105,112.71,16.9903,,98,103.5,30.7691,,85,89.82,132.1768,,82,86.27,255.156599999999
iq80310,,145,163.97,5.14959999999999,,108,117.34,17.6664,,103,106.99,32.0042,,89,93.2,137.623199999999,,85,89.12,261.9602
iq80321,,141,162.77,5.1354,,110,117.01,17.8065,,101,107.12,31.9463999999999,,88,93.27,137.298899999999,,85,89.14,260.900399999999
ixdp425,,148,163.14,4.90429999999999,,109,116.8,17.2071,,100,107.25,31.5871,,88,93.08,134.7364,,85,89.27,257.1499
jmr3904,,134,155.18,4.2403,,103,111.42,15.1182,,95,102.16,27.6968,,84,88.36,118.085599999999,,81,85.05,226.5981
jtst,,139,154.35,4.5347,,106,111.77,16.1917999999999,,97,103,29.7612,,87,89.81,127.8777,,82,86.27,245.4766
linux,,157,174.16,5.30929999999999,,118,125.96,18.2247,,110,115.87,33.3232999999999,,96,99.56,140.215799999999,,92,95.66,268.3158
lpcmt,,133,156.06,4.8602,,105,112.4,16.7721,,95,102.86,30.4619,,85,89.75,130.0101,,82,85.59,248.5619
m5272c3,,155,170.02,5.93359999999999,,115,122.75,20.4387999999999,,105,112.86,37.2439,,93,98.23,159.344199999999,,89,93.84,302.524199999999
mac7100evb,,133,151.08,4.676,,103,110.53,16.1389,,93,101.29,29.3036,,84,88.21,125.543499999999,,81,84.75,240.2928
mace1,,131,151.96,4.7121,,103,110.68,16.2391,,96,101.3,29.2073999999999,,84,88.3,125.032899999999,,81,84.75,238.9481
malta_mips32_4kc,,147,170.88,5.02809999999999,,109,121.63,17.3587,,101,110.42,31.798,,91,95.07,134.4129,,88,91.12,257.6883
malta_mips64_5kc,,148,170.75,4.82309999999999,,113,120.7,17.1178,,104,110.21,31.3122,,91,95.29,134.068799999999,,87,90.99,254.800399999999
mb93091,,136,163.92,4.80629999999999,,109,118.18,17.2369,,102,107.42,31.4568,,90,93.71,135.3284,,86,89.84,258.9937
mb93093,,135,163.79,4.88679999999999,,110,117.1,16.9972,,101,106.94,30.6857,,89,93.19,131.230499999999,,85,89.32,249.782
mbx,,148,167.22,5.50199999999999,,110,118.51,18.8764999999999,,100,108.4,34.5325,,89,94.46,147.449599999999,,86,89.94,278.5976
mcb2100,,136,153.08,4.84289999999999,,105,111.93,16.7785999999999,,96,102.97,30.3906999999999,,85,89.67,130.489799999999,,82,85.89,251.275
moab,,155,173.48,5.6863,,114,123.42,19.2737,,108,113.37,34.8088,,93,98.46,148.833,,90,94,283.7728
mpc50,,136,152.18,4.47839999999999,,102,109.18,15.3413999999999,,96,100.97,28.202,,84,87.75,120.8354,,79,83.72,229.465699999999
nano,,158,175.99,5.53529999999999,,118,126.16,19.2111,,109,115.21,34.8002,,95,99.68,148.6969,,91,95.37,283.616999999999
npwr,,143,164.96,4.90879999999999,,110,117.72,17.4551,,102,107.75,31.918,,88,93.71,137.4237,,85,89.57,261.4154
ocelot,,146,166.71,4.98529999999999,,112,118.22,17.801,,103,107.63,32.1892999999999,,90,93.83,139.014,,86,90,265.6855
olpce2294,,152,167.7,5.4626,,115,121.54,18.8148,,105,110.8,34.015,,90,96.25,145.218299999999,,88,92.08,276.973799999999
olpch2294,,137,154.31,4.98459999999999,,105,112.79,17.1174,,96,103.53,31.0893,,86,90.1,133.5765,,82,86.05,256.8103
olpcl2294,,147,168.88,5.37989999999999,,114,121.38,18.7502,,104,110.79,34.126,,92,96.31,144.818599999999,,87,91.87,277.3448
p2106,,139,155.3,4.85579999999999,,104,112.03,16.6056,,97,102.44,30.3015,,85,89.61,129.635,,82,85.94,250.3985
pati,,130,155.24,4.78159999999999,,103,111.14,16.5256999999999,,96,101.92,29.9187,,85,88.65,129.761399999999,,82,85.46,247.8845
pc_i82544,,147,169.07,5.28319999999999,,115,122.28,18.4976,,106,111.18,33.1489,,93,96.61,142.6715,,89,92.91,273.060599999999
pc_i82559,,146,168.17,5.09599999999999,,115,121.98,18.2804,,104,111.37,33.0291,,92,96.74,142.156199999999,,89,92.82,272.1191
pc_rltk8139,,157,175.48,5.29859999999999,,122,127.65,18.9414,,111,117.05,34.5749,,98,101.12,147.315099999999,,91,96.67,280.6818
pc_usb_d12,,146,162.59,5.26359999999999,,109,116.8,18.2176,,99,106.47,33.094,,88,92.45,141.359,,85,88.84,270.6029
pc_vmWare,,152,164.04,5.30099999999999,,113,119.66,17.9827999999999,,104,110.05,32.7421,,92,95.61,140.4629,,88,91.39,266.9998
phycore,,137,159.63,5.06509999999999,,104,113.33,17.5333,,98,103.9,31.7998,,86,90.77,136.7113,,82,87,261.7369
phycore229x,,150,171.49,6.09009999999999,,112,121.39,21.1277,,106,111.34,38.3496,,93,96.63,165.1598,,89,92.28,313.9628
picasso,,146,161.38,5.07839999999999,,109,117.52,17.3857,,101,107.09,31.4118,,87,92.89,134.0629,,86,88.94,256.7208
pid,,134,155.3,4.6061,,105,111.85,15.9787,,97,101.72,29.1226,,84,88.69,124.918399999999,,81,84.72,237.4557
prpmc1100,,136,153.23,4.3449,,104,110.81,15.6361,,96,101.06,28.4202999999999,,85,88.24,122.6577,,80,84.59,233.957099999999
psim,,132,149.5,3.9532,,101,108.88,14.289,,93,99.88,26.3127,,82,86.33,112.172899999999,,79,82.93,214.553999999999
rattler,,157,174.83,6.00889999999999,,118,126.24,20.5963999999999,,112,116.08,37.5798,,96,100.36,159.6472,,92,95.87,307.9684
ref4955,,139,154.88,4.6016,,103,111.49,15.7752,,95,102.02,28.9129,,86,88.88,122.723099999999,,82,85.19,237.386199999999
refidt334,,154,175.5,5.54389999999999,,114,125.82,19.0433,,108,114.6,34.4746,,96,99.35,147.453399999999,,90,95.23,281.4492
sa1100mm,,136,153.69,4.6125,,103,110.93,15.9212,,95,101.83,29.1364,,85,88.45,124.456099999999,,80,84.91,236.688199999999
sam7ex256,,146,166.2,5.8362,,111,120.25,20.2246,,105,110.38,36.8667999999999,,93,96.1,157.8876,,89,91.97,302.5274
se7751,,157,177.58,5.87669999999999,,122,128.67,20.3443,,113,118.08,36.9428999999999,,97,102.37,158.774999999999,,94,98.29,304.373
sh4_202_md,,151,173.76,5.30059999999999,,118,126.39,18.8208,,110,115.81,34.2692,,96,101.09,147.3533,,93,96.47,280.2169
sh7708,,168,183.43,5.49809999999999,,129,136.25,20.0042999999999,,117,124.57,36.1666,,103,108.82,154.971199999999,,100,103.79,296.108899999999
skmb91302,,132,158.98,4.60909999999999,,105,111.75,15.8494,,96,101.83,28.7649,,85,88.78,123.100299999999,,81,85.11,233.374399999999
