Instances,,,SamplingCA,,,,Alt-1,,,,Alt-2,,,,Alt-3,
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
h8s_sim,,93,99.28,26.4752999999999,,415,466.32,99.5579999999999,,137,146.52,38.3044,,708,769.25,64.6295
hs7729pci,,133,140.22,43.9913,,526,584.5,176.7962,,183,192.71,60.0325,,1115,1262.5,104.023799999999
innovator,,134,140.95,41.171,,508,571.24,154.0695,,187,196.13,56.7684999999999,,1377,1526.39,90.4998
integrator_arm7,,104,109.11,32.9248,,467,521.19,123.3688,,153,160.52,47.0897,,741,827.46,82.5809999999999
integrator_arm9,,116,122.19,36.9415999999999,,474,545.25,136.945,,162,173.18,51.2912999999999,,1309,1438.26,90.4663999999999
ipaq,,98,103.5,30.7691,,416,490.1,117.053699999999,,148,153.39,45.3447999999999,,726,800.45,80.344
iq80310,,103,106.99,32.0042,,431,502.05,122.0218,,149,157.2,46.7232999999999,,764,855.33,83.0392
iq80321,,101,107.12,31.9463999999999,,457,510.5,121.4266,,149,157.21,45.8928,,728,807.61,80.3430999999999
ixdp425,,100,107.25,31.5871,,430,507.91,118.5136,,149,157.04,45.0541,,805,905.36,80.7481
jmr3904,,95,102.16,27.6968,,392,472.61,106.203899999999,,145,150.68,40.0071,,710,796.97,69.7621999999999
jtst,,97,103,29.7612,,422,480.91,113.2437,,142,151.88,43.2786,,705,796.34,76.2477
linux,,110,115.87,33.3232999999999,,440,509.8,122.6732,,155,163.66,46.3083,,794,898.46,85.6184999999999
lpcmt,,95,102.86,30.4619,,414,471.76,113.8305,,145,151.62,44.2895,,717,791.92,77.3494999999999
m5272c3,,105,112.86,37.2439,,418,502.53,148.2579,,160,168.65,54.617,,789,851.75,90.3451999999999
mac7100evb,,93,101.29,29.3036,,444,482.67,115.4361,,144,150.56,42.6382,,704,785.62,73.6991999999999
mace1,,96,101.3,29.2073999999999,,424,481.37,114.623899999999,,142,150.61,42.9152999999999,,670,783.75,73.4055999999999
malta_mips32_4kc,,101,110.42,31.798,,459,519.11,124.6595,,153,161.14,45.2274999999999,,789,882.98,78.7793
malta_mips64_5kc,,104,110.21,31.3122,,466,516.99,123.273099999999,,153,161.23,45.1176999999999,,786,889.92,79.1741999999999
mb93091,,102,107.42,31.4568,,464,532.16,122.429299999999,,149,157.49,45.31,,771,869.14,81.1658999999999
mb93093,,101,106.94,30.6857,,455,519.22,118.178899999999,,149,157.02,44.2191,,771,862.74,78.4889999999999
mbx,,100,108.4,34.5325,,472,533.54,132.3491,,148,158.5,49.3,,795,889.14,85.9554
mcb2100,,96,102.97,30.3906999999999,,412,472.62,113.1939,,143,152.17,44.0527,,721,791.57,77.3477999999999
moab,,108,113.37,34.8088,,485,550.74,142.819799999999,,157,165.92,50.5802999999999,,852,1037.43,87.7082999999999
mpc50,,96,100.97,28.202,,399,474.79,103.828,,141,149.15,40.955,,703,790.53,68.8556
nano,,109,115.21,34.8002,,471,527.99,131.822199999999,,159,166.21,49.4233,,793,896.66,91.6859999999999
npwr,,102,107.75,31.918,,450,507.9,121.625,,152,158.47,46.3766999999999,,693,803.35,81.0495999999999
ocelot,,103,107.63,32.1892999999999,,451,532.15,123.7362,,150,158.53,46.9222999999999,,838,1003.26,84.1505999999999
olpce2294,,105,110.8,34.015,,450,506.83,131.092199999999,,155,161.72,49.4513999999999,,752,838.68,88.4465
olpch2294,,96,103.53,31.0893,,416,480.93,116.516899999999,,148,153.7,45.7764,,719,812.01,79.6960999999999
olpcl2294,,104,110.79,34.126,,444,512.32,131.466299999999,,153,161.3,48.4097999999999,,772,850.68,88.1613999999999
p2106,,97,102.44,30.3015,,417,473.47,113.510899999999,,144,152.76,44.2667999999999,,709,798.21,77.169
pati,,96,101.92,29.9187,,443,492.82,116.5914,,145,152.11,44.3086,,743,802.91,76.9849
pc_i82544,,106,111.18,33.1489,,448,509.26,129.918499999999,,155,162.1,47.9024999999999,,763,831.47,86.4729999999999
pc_i82559,,104,111.37,33.0291,,435,510.35,128.281499999999,,154,162.11,47.4844999999999,,780,846.8,86.4305
pc_rltk8139,,111,117.05,34.5749,,459,519.2,134.2034,,159,167.19,48.727,,768,854.9,91.4553
pc_usb_d12,,99,106.47,33.094,,440,502.26,126.478699999999,,151,158.04,48.1065999999999,,723,834.46,85.005
pc_vmWare,,104,110.05,32.7421,,434,499.33,126.389299999999,,153,160.07,46.917,,747,797.04,85.2929999999999
phycore,,98,103.9,31.7998,,437,513.99,118.666999999999,,145,154.3,46.4063,,762,853.01,81.4020999999999
phycore229x,,106,111.34,38.3496,,479,549.44,146.6788,,154,161.85,55.0449999999999,,869,985.53,99.9221999999999
picasso,,101,107.09,31.4118,,439,501.72,120.322,,144,156.46,45.3702,,739,830,81.1078999999999
pid,,97,101.72,29.1226,,423,490.14,109.6183,,145,153.2,42.7972,,722,824.4,74.6429999999999
prpmc1100,,96,101.06,28.4202999999999,,431,483.36,106.2726,,145,150.43,41.5704,,712,797.52,72.9149
psim,,93,99.88,26.3127,,406,464.26,97.5474999999999,,139,147.16,37.9893999999999,,695,779.04,64.6832999999999
rattler,,112,116.08,37.5798,,499,568.09,146.8354,,161,168.04,53.5186999999999,,816,946.5,94.7622999999999
ref4955,,95,102.02,28.9129,,426,477.34,108.700399999999,,143,151.32,41.7186999999999,,718,805.83,74.7243999999999
refidt334,,108,114.6,34.4746,,496,557.63,131.1408,,155,165.13,49.4426,,872,1067.49,88.5681
sa1100mm,,95,101.83,29.1364,,417,470.53,109.743199999999,,144,151.31,42.026,,697,783.76,72.4965999999999
sam7ex256,,105,110.38,36.8667999999999,,444,514.66,143.400099999999,,153,161.4,53.0892,,761,820.62,96.2790999999999
se7751,,113,118.08,36.9428999999999,,480,541.9,148.186399999999,,159,169.38,52.3116999999999,,795,895.55,97.7494999999999
sh4_202_md,,110,115.81,34.2692,,468,521.46,138.0571,,160,167.76,49.0117999999999,,767,860.38,84.5762999999999
sh7708,,117,124.57,36.1666,,423,503.36,133.4188,,167,174.36,50.0585999999999,,991,1105.97,88.5239
skmb91302,,96,101.83,28.7649,,440,504.25,110.046299999999,,144,151.99,42.0374,,757,844.03,70.6239
sleb,,95,99.72,26.6597999999999,,414,473.08,99.3396999999999,,140,147.05,38.716,,711,789.95,67.3513
smdk2410,,121,128.43,38.4796,,479,556.25,146.4676,,173,183.93,54.5385999999999,,1365,1494.02,87.9213999999999
snds,,99,105.45,29.8244999999999,,436,483.86,112.5262,,148,153.54,42.5127,,705,778.81,74.1242999999999
sparc_erc32,,94,99.07,25.7918,,412,466.63,96.264,,138,145.91,37.2032,,700,774.43,62.4252999999999
sparc_leon,,94,99.04,25.7375,,413,465.51,95.9837999999999,,138,146.75,37.4174999999999,,701,775.75,63.7538999999999
sparclite_sim,,94,99.31,25.8405,,394,459.51,95.9207,,138,145.73,36.998,,694,778.14,62.8799999999999
stb,,98,104.22,30.8308,,470,522.81,117.4132,,146,153.67,44.9708,,760,854.25,81.6049
stdeval1,,97,103.25,27.7632,,425,480.59,107.2127,,144,152.25,40.8202,,698,792.58,72.2217
stm3210e_eval,,97,102.73,31.4514999999999,,422,492.33,114.6673,,145,153.17,45.7333,,769,853.79,80.4584999999999
toybox,,15,16.39,0.912099999999999,,17,18.11,5.61499999999999,,17,17.91,0.993499999999999,,16,17.41,0.922599999999999
